Epochs,Training Accuracy,Validation Accuracy
1,0.0,0.0
2,60.64356435643565,61.8
3,79.5049504950495,61.8
4,87.92079207920793,63.6
5,91.33663366336634,67.0
6,95.24752475247524,65.0
7,96.98019801980197,64.4
8,98.81188118811882,65.6
9,99.4059405940594,66.6
10,99.65346534653466,65.6
11,99.95049504950495,65.4
12,99.9009900990099,64.2
13,99.75247524752476,65.4
14,99.95049504950495,66.2
15,99.95049504950495,63.6
16,99.10891089108911,65.2
17,99.35643564356435,66.2
18,99.60396039603961,64.8
19,99.4059405940594,65.4
20,99.85148514851485,64.6
21,99.45544554455445,64.8
22,99.00990099009901,66.8
23,99.9009900990099,64.0
24,99.10891089108911,63.8
25,98.91089108910892,65.0
26,98.96039603960396,63.4
27,99.3069306930693,65.0
28,100.0,65.2
29,99.95049504950495,65.2
30,99.75247524752476,65.0
31,99.55445544554455,65.4
